env,ratio,gain,gdc,gdc2,log10_ber,ber,drive_rms,symbols
IL10x20_RxHeavy,1.0,0.4381,3.0,3.0,-1.7028074866009097,0.019824055888086667,0.32513757514139646,65536
IL10x20_RxHeavy,1.3,0.56953,-3.0,-3.0,-2.8903527386383394,0.0012872036463891158,0.22668055479692964,65536
IL10x20_RxHeavy,1.3,0.56953,-3.0,0.0,-2.822233857511241,0.0015057960115925017,0.2319618131273207,65536
IL10x20_RxHeavy,1.3,0.56953,-3.0,3.0,-2.5548529413657035,0.002787064750849116,0.24215633746113474,65536
IL10x20_RxHeavy,1.3,0.56953,0.0,-3.0,-2.360122380413556,0.004363928431988113,0.29084573227410243,65536
IL10x20_RxHeavy,1.3,0.56953,0.0,0.0,-2.144539111561671,0.007169038099657135,0.2988381288633422,65536
IL10x20_RxHeavy,1.3,0.56953,0.0,3.0,-1.8466508045072472,0.014234728737980285,0.3141794314270654,65536
IL10x20_RxHeavy,1.3,0.56953,3.0,-3.0,-1.5858575633816059,0.02595030320976884,0.38839223438262827,65536
IL10x20_RxHeavy,1.3,0.56953,3.0,0.0,-1.4726480840074911,0.03367843607675262,0.40016533720689385,65536
IL10x20_RxHeavy,1.3,0.56953,3.0,3.0,-1.2993783870862925,0.05019051048768347,0.42267884768381536,65536
IL16x10,0.4,0.17524,-3.0,-3.0,-1.9211238100442005,0.01199157394833521,0.050694160166032974,65536
IL16x10,0.4,0.17524,-3.0,0.0,-1.9174698801166992,0.012092890485770391,0.052547599624580464,65536
IL16x10,0.4,0.17524,-3.0,3.0,-1.9307620178015956,0.011728378744621034,0.056063696210470124,65536
IL16x10,0.4,0.17524,0.0,-3.0,-2.4608466906413793,0.003460615186970401,0.0666054487624383,65536
IL16x10,0.4,0.17524,0.0,0.0,-2.53687033752963,0.002904889805632068,0.06936510186675786,65536
IL16x10,0.4,0.17524,0.0,3.0,-2.663891110412187,0.0021682476760822825,0.07456815635682905,65536
IL16x10,0.4,0.17524,3.0,-3.0,-2.948759893075229,0.0011252269024300359,0.0903341857167817,65536
IL16x10,0.4,0.17524,3.0,0.0,-2.9148457514727384,0.0012166180305829954,0.09435236361479371,65536
IL16x10,0.4,0.17524,3.0,3.0,-2.8973328522584114,0.001266680683507528,0.10189953555878112,65536
IL16x10,0.6,0.26286,-3.0,-3.0,-2.859238251972298,0.0013828075689245269,0.07604124024904947,65536
IL16x10,0.6,0.26286,-3.0,0.0,-2.8169905860884605,0.0015240857900293944,0.07882139943687068,65536
IL16x10,0.6,0.26286,-3.0,3.0,-2.8400858691278863,0.0014451540052387065,0.08409554431570518,65536
IL16x10,0.6,0.26286,0.0,-3.0,-2.944179575165609,0.001137156988854379,0.09990817314365745,65536
